shape,convex,x_raw,algorithm,parameter,dist_euclidean,dist_horizontal
B,concave,8,alpha_shape,0.06,2.681125832,2.5
B,concave,8,alpha_shape,0.1,6.756421652,8.5
B,concave,8,alpha_shape,0.2,8.380035799,8.5
B,concave,8,alpha_shape,0.3,8.380035799,8.5
B,concave,8,alpha_shape,0.6,8.381527307,8.5
B,concave,8,alpha_shape,1,8.381527307,8.5
B,concave,12,alpha_shape,0.01,1.854525793,1.5
B,concave,12,alpha_shape,0.02,2.319750372,1.5
B,concave,12,alpha_shape,0.03,3.583197454,3.5
B,concave,12,alpha_shape,0.04,4.454809124,4.5
B,concave,12,alpha_shape,0.045,5.138556854,4.5
B,concave,12,alpha_shape,0.047,5.552867958,5.5
B,concave,12,alpha_shape,0.049,5.552867958,5.5
B,concave,12,alpha_shape,0.05,5.552867958,5.5
B,concave,12,alpha_shape,0.051,5.552867958,5.5
B,concave,12,alpha_shape,0.053,5.552867958,5.5
B,concave,12,alpha_shape,0.055,5.552867958,5.5
B,concave,12,alpha_shape,0.06,6.40743631,6.5
B,concave,12,alpha_shape,0.1,9.75927572,12.5
B,concave,12,alpha_shape,0.2,12.17476899,12.5
B,concave,12,alpha_shape,0.3,12.17476899,12.5
B,concave,12,alpha_shape,0.6,12.17579566,12.5
B,concave,12,alpha_shape,1,12.17579566,12.5
B,concave,16,alpha_shape,0.01,5.854255404,5.5
B,concave,16,alpha_shape,0.02,6.318436095,5.5
B,concave,16,alpha_shape,0.03,7.55030892,7.5
B,concave,16,alpha_shape,0.04,8.374315319,8.5
B,concave,16,alpha_shape,0.045,9.004803085,8.5
B,concave,16,alpha_shape,0.047,9.37956348,9.5
B,concave,16,alpha_shape,0.049,9.37956348,9.5
B,concave,16,alpha_shape,0.05,9.37956348,9.5
B,concave,16,alpha_shape,0.051,9.37956348,9.5
B,concave,16,alpha_shape,0.053,9.37956348,9.5
B,concave,16,alpha_shape,0.055,9.37956348,9.5
B,concave,16,alpha_shape,0.06,10.13374679,10.5
B,concave,16,alpha_shape,0.1,12.76212979,16.5
B,concave,16,alpha_shape,0.2,13.86542462,16.5
B,concave,16,alpha_shape,0.3,13.86542462,16.5
B,concave,16,alpha_shape,0.6,13.86542462,16.5
B,concave,16,alpha_shape,1,13.86542462,16.5
B,concave,20,alpha_shape,0.01,9.853985015,9.5
B,concave,20,alpha_shape,0.02,10.31712182,9.5
B,concave,20,alpha_shape,0.03,11.51742039,11.5
B,concave,20,alpha_shape,0.04,12.29382151,12.5
B,concave,20,alpha_shape,0.045,12.87104932,12.5
B,concave,20,alpha_shape,0.047,13.206259,13.5
B,concave,20,alpha_shape,0.049,13.206259,13.5
B,concave,20,alpha_shape,0.05,13.206259,13.5
B,concave,20,alpha_shape,0.051,13.206259,13.5
B,concave,20,alpha_shape,0.053,13.206259,13.5
B,concave,20,alpha_shape,0.055,13.206259,13.5
B,concave,20,alpha_shape,0.06,13.86005727,14.5
B,concave,20,alpha_shape,0.1,15.76498386,20.5
B,concave,20,alpha_shape,0.2,16.00781059,20.5
B,concave,20,alpha_shape,0.3,16.00781059,20.5
B,concave,20,alpha_shape,0.6,16.00781059,20.5
B,concave,20,alpha_shape,1,16.00781059,20.5
B,concave,25,alpha_shape,0.01,14.85364703,14.5
B,concave,25,alpha_shape,0.02,15.31547897,14.5
B,concave,25,alpha_shape,0.03,16.47630972,16.5
B,concave,25,alpha_shape,0.04,17.19320426,17.5
B,concave,25,alpha_shape,0.045,17.70385711,17.5
B,concave,25,alpha_shape,0.047,17.9896284,18.5
B,concave,25,alpha_shape,0.049,17.9896284,18.5
B,concave,25,alpha_shape,0.05,17.9896284,18.5
B,concave,25,alpha_shape,0.051,17.9896284,18.5
B,concave,25,alpha_shape,0.053,17.9896284,18.5
B,concave,25,alpha_shape,0.055,17.9896284,18.5
B,concave,25,alpha_shape,0.06,18.51794536,19.5
B,concave,25,alpha_shape,0.1,19.52562419,25.5
B,concave,25,alpha_shape,0.2,19.52562419,25.5
B,concave,25,alpha_shape,0.3,19.52562419,25.5
B,concave,25,alpha_shape,0.6,19.52562419,25.5
B,concave,25,alpha_shape,1,19.52562419,25.5
B,concave,32,alpha_shape,0.01,21.85317385,21.5
B,concave,32,alpha_shape,0.02,22.31317899,21.5
B,concave,32,alpha_shape,0.03,23.41875479,23.5
B,concave,32,alpha_shape,0.04,24.0523401,24.5
B,concave,32,alpha_shape,0.045,24.46978801,24.5
B,concave,32,alpha_shape,0.047,24.68634557,25.5
B,concave,32,alpha_shape,0.049,24.68634557,25.5
B,concave,32,alpha_shape,0.05,24.68634557,25.5
B,concave,32,alpha_shape,0.051,24.68634557,25.5
B,concave,32,alpha_shape,0.053,24.68634557,25.5
B,concave,32,alpha_shape,0.055,24.68634557,25.5
B,concave,32,alpha_shape,0.06,25.0389887,26.5
B,concave,32,alpha_shape,0.1,25.30316186,32.5
