shape,changeType,blockNum,trialID,response,confidence,rt,experimentVersion,correctAnswer,fullShapeName,responded_correctly,analysisChangeType,subject
shape4,no_change6,1,12,same,9,1242.2,control,same,shape4_no_change6,1,none,3
shape6,no_change5,1,13,same,9,1019.5,control,same,shape6_no_change5,1,none,3
shape3,concave_area1,1,14,different,6,1449.4,control,different,shape3_concave_area1,1,concave,3
shape2,no_change1,1,15,same,9,1275.9,control,same,shape2_no_change1,1,none,3
shape1,concave_area1,1,16,same,9,973,control,different,shape1_concave_area1,0,concave,3
shape8,no_change3,1,17,same,9,2879.1,control,same,shape8_no_change3,1,none,3
shape1,no_change2,2,18,same,9,1864.5,control,same,shape1_no_change2,1,none,3
shape2,concave_area1,2,19,different,7,1813.7,control,different,shape2_concave_area1,1,concave,3
shape6,concave_area1,2,20,same,9,1141.9,control,different,shape6_concave_area1,0,concave,3
catch_shape,change5,2,21,different,9,1967.2,control,different,catch_shape_change5,1,none,3
shape7,no_change6,2,22,same,9,3455.6,control,same,shape7_no_change6,1,none,3
shape3,no_change1,2,23,different,5,2470.6,control,same,shape3_no_change1,0,none,3
shape5,no_change3,2,24,same,6,2739.2,control,same,shape5_no_change3,1,none,3
shape8,convex_area1,2,25,different,9,1458.8,control,different,shape8_convex_area1,1,convex,3
shape4,concave_area1,2,26,different,9,1900.9,control,different,shape4_concave_area1,1,concave,3
shape7,convex_area1,3,27,different,9,1544.3,control,different,shape7_convex_area1,1,convex,3
shape6,concave_area2,3,28,same,7,1305.7,control,different,shape6_concave_area2,0,concave,3
catch_shape,change6,3,29,different,9,1476,control,different,catch_shape_change6,1,none,3
shape8,no_change6,3,30,same,9,882.9,control,same,shape8_no_change6,1,none,3
shape5,concave_area1,3,31,same,6,1775.2,control,different,shape5_concave_area1,0,concave,3
shape4,concave_area2,3,32,different,7,1657.7,control,different,shape4_concave_area2,1,concave,3
shape3,convex_area2,3,33,same,8,1196.6,control,different,shape3_convex_area2,0,convex,3
shape2,no_change5,3,34,same,6,1682,control,same,shape2_no_change5,1,none,3
shape1,concave_nofill_area2,3,35,different,9,1165.5,control,different,shape1_concave_nofill_area2,1,concave_nofill,3
shape2,concave_nofill_area1,4,36,different,9,948.4,control,different,shape2_concave_nofill_area1,1,concave_nofill,3
shape7,no_change4,4,37,same,9,905.8,control,same,shape7_no_change4,1,none,3
shape1,no_change1,4,38,same,9,795.9,control,same,shape1_no_change1,1,none,3
shape8,no_change1,4,39,same,7,841.7,control,same,shape8_no_change1,1,none,3
shape5,concave_nofill_area1,4,40,different,9,863.4,control,different,shape5_concave_nofill_area1,1,concave_nofill,3
shape3,no_change6,4,41,same,4,3048.7,control,same,shape3_no_change6,1,none,3
catch_shape,no_change5,4,42,same,9,827.5,control,same,catch_shape_no_change5,1,none,3
shape6,convex_area2,4,43,different,9,4308.4,control,different,shape6_convex_area2,1,convex,3
shape4,no_change5,4,44,same,7,961.3,control,same,shape4_no_change5,1,none,3
shape3,no_change2,5,45,same,9,808.3,control,same,shape3_no_change2,1,none,3
shape1,concave_nofill_area1,5,46,different,9,1162.8,control,different,shape1_concave_nofill_area1,1,concave_nofill,3
shape6,no_change6,5,47,same,9,966.2,control,same,shape6_no_change6,1,none,3
shape5,no_change2,5,48,different,5,1448,control,same,shape5_no_change2,0,none,3
shape2,no_change6,5,49,same,9,1187.2,control,same,shape2_no_change6,1,none,3
catch_shape,change1,5,50,different,9,1382.3,control,different,catch_shape_change1,1,none,3
shape8,no_change5,5,51,same,8,774.4,control,same,shape8_no_change5,1,none,3
shape4,convex_area2,5,52,different,9,1485.7,control,different,shape4_convex_area2,1,convex,3
shape7,concave_nofill_area1,5,53,different,9,1153.1,control,different,shape7_concave_nofill_area1,1,concave_nofill,3
catch_shape,change3,6,54,different,9,1727.2,control,different,catch_shape_change3,1,none,3
shape8,no_change2,6,55,same,9,998.2,control,same,shape8_no_change2,1,none,3
shape2,concave_area2,6,56,different,9,1386.2,control,different,shape2_concave_area2,1,concave,3
shape1,no_change6,6,57,same,9,1071.3,control,same,shape1_no_change6,1,none,3
shape5,no_change5,6,58,same,9,833.9,control,same,shape5_no_change5,1,none,3
shape3,no_change3,6,59,same,6,1369,control,same,shape3_no_change3,1,none,3
shape4,no_change4,6,60,same,9,2888.1,control,same,shape4_no_change4,1,none,3
shape7,concave_area1,6,61,same,9,1233.7,control,different,shape7_concave_area1,0,concave,3
shape6,no_change1,6,62,same,9,786.8,control,same,shape6_no_change1,1,none,3
shape1,no_change5,7,63,same,9,930.6,control,same,shape1_no_change5,1,none,3
shape8,no_change4,7,64,same,9,1548.2,control,same,shape8_no_change4,1,none,3
